,title,full_text,reference,asset_class,page_number,financial_crime_category
41,US M&A – using dealing ring to trade on inside information,"A dealing ring was formed between James Sanders, a director of Blue Index (a specialist Contract for Difference brokerage), his wife Miranda Sanders, James Swallow (a former employee at Blue Index) and Arnold and Annabel McClellan (who was Miranda Sanders' sister). Arnold McClellan was a senior partner in a US accounting firm that was an insider to a number of mergers and acquisitions in US securities listed on the NYSE and NASDAQ exchanges. Inside information was leaked by Arnold or Annabel McClellan and passed to James and Miranda Sanders who used the information to commit insider dealing in the relevant US securities between October 2006 and February 2008. James Sanders also disclosed information to others including James Swallow, who used that information to commit insider dealing. In addition, James Sanders encouraged clients of Blue Index to trade in CFDs on the basis of the inside information. James Sanders created spread bets to cash in on the information for both himself and his clients.","FCA/SEC, 2011, in the matter of Sanders and Sanders & Swallow",Equities,42,Misuse of inside information
42,Insider dealing – shares of alcoholic beverages company,"On 4 June 2014, a director of an alcoholic beverages company bought 2,300 shares of the company at €4.43 each, for a total amount of €10,189, through an intermediary company. On 7 August 2014, he bought another 2,300 shares at €4.40 each, for a total amount of €10,252, through the same intermediary on behalf of his daughter. On 27 October 2014, the company announced to the market a takeover offer for its shares, with a corresponding de-listing and reduction of capital, at a price of €5.70 per share. The shares purchased by the director (and those purchased on behalf of his daughter) were not sold in the market after the relevant takeover announcement, nor did they participate in the takeover bid. Despite this, the Spanish National Securities Market Commission concluded that the behaviour of the director of the company (who had been included, since 1 August 2014, in the list of insiders prepared by the company in relation to the takeover bid) constituted an act of insider dealing because he was in possession of inside information that he used to acquire, on behalf of a third party, shares of a listed company to which that inside information was relevant.","Spanish National Court, 2019, Manufacturer of alcoholic beverages",Equities,43,Misuse of inside information
43,Imaging Inc M&A – misappropriating material non-public information to make profit,"The SEC charged Tsai, a junior analyst at a large international investment bank, with insider trading. The SEC alleged that Tsai learned of Siris Capital Group, LLC acquiring Electronics for Imaging, Inc. (""EFII"") in advance of its transaction announcement and misappropriated material non-public information to make purchases of EFII options. The SEC contends that Tsai hid the transactions in a brokerage account from his employer and made nearly $100,000 in profit.","US, 2019, in the matter of Tsai",Equities,43,Misuse of inside information
44,Insider dealing – misuse of Netflix subscriber data,"In August 2021, Sung Mo Jun, his brother Joon Jun, and his friend Junwoo Chon pled guilty to charges of insider trading in the purchase and sale of Netflix securities between July 2016 to July 2019. Sung Mo Jun was a software engineer at Netflix with access to material, non-public information, including Netflix subscriber data. According to the plea agreement, Sun Mo Jun profited on trades based on that material non-public information, and disclosed that information to Joon Jun and Junwoo Chon with the knowledge that the two intended to use the information to profit on the purchase and sale of Netflix securities. The illicit profits gained by all defendants were estimated to be $1,170,905.","US 2021, in the matter of Sung Mo Jun et al",Equities,43,Misuse of inside information
45,Disclosure of confidential information to market operators,"Consob found that Mr R.C.C. had engaged in insider dealing for having disclosed, outside the normal exercise of his employment, confidential information contained in a research report, prepared by Mr. R.C.C., relating to Banca Italease. The report contained a purchase recommendation and a target price that was significantly higher than the market price. Mr R.C.C. disclosed the report to seven market operators prior to its publication to the market.","Italian Supreme Court of Cassation, 2018, in the matter of Mr R. C. C . (former employee of Citigroup Global Markets)",Equities,44,Misuse of inside information
46,M&A bond issuance – disclosing price sensitive information to clients,"In November 2009, US telecommunications company Liberty Global, inc (""Liberty""), agreed to acquire Unitymedia GmbH (""Unitymedia""), a German cable television company. Liberty appointed a bank as lead book runner for a potential €2.5 billion bond issue, the proceeds of which were likely to be used to finance the acquisition and refinance outstanding debt. Prior to the announcement of the takeover and issue, Kyprios, who worked as Head of Credit Sales at the bank, signalled non-public information to two fund managers, against the express instructions of his employer and despite the fact that the fund managers asked not to be wall crossed. Kyprios disclosed: (i) the fact that Unitymedia was potentially about to bring a big bond issue to market; (ii) the fact that the issue was intended to be announced the next day; (iii) the potential rating of the issue; (iv) the fact that Unitymedia would redeem outstanding bonds; and (v) the fact that the issue was M&A-related.
The information was price sensitive to outstanding Unitymedia floating rate notes.","FCA, 2012, in the matter of Kyprios",Rates and Credit,44,Misuse of inside information
47,Company takeovers – disclosing proposed M&A deals,"The FCA secured criminal convictions against Fabiana Abdel-Malek and Walid Choucair in respect of insider dealing offences. During the relevant period, Fabiana Abdel-Malek worked as a senior compliance officer at UBS AG's London office. In this role, she had access to price-sensitive information about potential mergers and acquisitions held within the UBS compliance system. The FCA alleged that, despite being familiar with the restrictions on disclosing inside information, Abdel-Malek searched the compliance system and obtained inside information relating to the proposed takeovers of five companies, which she then disclosed to Choucair, who traded in the shares of five target companies. It was found that Abdel-Malek and Choucair sought to conceal their criminal activity by using unregistered pay-as-you-go mobile phones, changing and swapping SIM cards at regular intervals, to communicate with one another.","FCA, 2019, in the matter of Fabiana Abdel-Malek and Walid Choucair",Equities,45,Misuse of inside information
48,CTT – placing buy orders to artificially raise share prices,"The SEC alleged that between July 1998 and June 2001, CTT, its CEO and others, participated in a scheme to raise artificially and maintain the price of CTT's stock. According to the SEC, these persons placed buy orders at or near the close of the market in order to inflate the reported closing price (i.e. ""marking the close""), placed successive buy orders in small size at increasing prices (i.e. ""painting the tape"") and using accounts they controlled or serviced, placed pre-arranged buy and sell orders in identical amounts (""matched trades"") and placed other buy orders intended to minimize the negative impact on CTT's price from sales of the stock (i.e. pegging.) The SEC also alleged that the defendants used CTT's own stock purchase plan to offset selling pressure, place late day orders, and maintain the stock price.","SEC, 2005, in the matter of Competitive Technologies Inc",Equities,47,Reference price influence
49,Coffee futures and coffee futures options – reference price manipulation,"Andrew Kerr, on the instruction of a client ('Client A', a proprietary trader) manipulated the market in London International Financial Futures and Options Exchange ('LIFFE') coffee futures and coffee futures options. Client A held positions in LIFFE coffee futures and coffee options with a strike price of $1,750 and held a large position (2,000 contracts) in coffee put options. The coffee options reference price ('CORP') was calculated by reference to the volume weighted average price ('VWAP') of coffee futures trading between 12:29 and 12:30 on the third Wednesday of the preceding month. In the minute prior to 12:29 on 15 August 2007, coffee futures had been trading at $1,745 and the VWAP was below $1,750. Accordingly, it appeared that Client A's coffee put options would expire in the money ('ITM'). Shortly before 12:29, and following a plan developed during a series of telephone conversations between Kerr and Client A, which commenced on 14 August 2007, Client A instructed Kerr to time a 600 lot coffee futures buy order to be entered seconds before 12:30. Client A made it clear to Kerr that the order must be executed prior to 12:30 and that his intent in placing the order was to manipulate the coffee futures price so that the CORP would close above $1,750 and the put options would expire out of the money ('OTM'). Kerr then executed the order and the price of coffee futures rose to $1,757 at 12:30 and the CORP was set at $1,752.","FSA, 2010, in the matter of Andrew Kerr",Commodities,48,Reference price influence
50,LIBOR – attempting to influence submissions,"In 2013, the FSA took action against RBS for its significant failings in relation to LIBOR which occurred between October 2006 and November 2010. The FSA found that to benefit its derivatives trading books, RBS sought to manipulate LIBOR in connection with its own submission of rates forming part of the calculation of Japanese Yen ('JPY') and Swiss franc ('CHF') LIBOR. It did this by taking into account the trading positions of its interest rate derivatives traders when making its JYP and CHF LIBOR submissions. It also found that RBS colluded with other banks who submitted LIBOR to the British Bankers' Association and firms employing interdealer brokers in relation to JPY and CHF LIBOR submissions. RBS, through its primary submitters, also inappropriately considered the impact of LIBOR and RBS's LIBOR submissions on the profitability of transactions in its money market trading books as a factor when making (or directing others to make) JPY, CHF and USD LIBOR submissions. This misconduct undermined the integrity of LIBOR.","FSA, 2013, in the matter of RBS",Rates and Credit,48,Reference price influence
51,Athena Capital Research – use of an algorithm to mark the close,"Athena was a high-frequency trading firm that, according to the SEC, developed a complex computer program to carry out a manipulative scheme that consisted of marking the close price of publicly traded securities. Athena allegedly developed a series of algorithms called ""Gravy"", which assisted Athena in making large purchases or sales of stocks in the first few seconds before market close in order to drive closing prices slightly higher or lower. Athena's trading focused on trading in order imbalances in securities at the close of the trading day. Imbalances occurred when there were more orders to buy shares than to sell shares (or vice versa) at the close for any given stock. Every day at the close of trading, NASDAQ ran a closing auction to fill all on-close orders at the best price, one that is not too distant from the price of the stock just before the close. Athena placed orders to fill imbalances in securities at the close of trading, and then traded or ""accumulated"" shares on the continuous market on the opposite side of its order with the goal of holding no positions by the close. According to the SEC, Athena used these strategies to help generate profits, and, with help from its Gravy algorithms, refined a method to manipulate the process used to set closing prices.","SEC, 2014, in the matter of Athena Capital Research",Commodities,49,Reference price influence
52,IBOR – attempting to influence submissions (DB),"The FCA took action against Deutsche Bank for its attempted manipulation of IBOR rates and improper influence over IBOR submissions. Over at least five years from January 2005, the money market derivatives and pool trading desks routinely manipulated DB's IBOR submissions and improperly influenced other panel bank's IBOR submissions to profit. This involved collusion with a number of parties and trading activity to maximise the potential impact of misconduct on the IBOR rates, with managers acting centrally in this misconduct. In relation to its manipulation of EURIBOR, DB used a three-pronged approach to maximise its impact on the rate. This involved certain traders (i) influencing DB's submitters to alter DB's EURIBOR submission; (ii) contacting other panel banks and requesting that they put in different EURIBOR submissions; and (iii) occasionally offering or bidding cash in the market to create the impression of an increased or reduced supply to influence other Panel Banks to alter their EURIBOR submissions.","FCA, 2015, in the matter of Deutsche Bank AG",Rates and Credit,49,Reference price influence
53,HSI futures – manipulating opening price,"The SFC found that a futures trader, Tsoi Wan, manipulated the calculated opening price (calculated during the pre-market opening period to serve as the market opening price for the corresponding product) of Hang Seng Index futures contracts. Wan did this by placing several orders on various dates during the morning of the pre-market opening period, making a profit of $70,800 from these manipulative trades.","SFC, 2019, in the matter of Tsoi Wan",Equities,50,Reference price influence
54,Listed investment fund – manipulating closing prices,"Mr Hoogeveen held a securities account with a bank. The value of his investment portfolio was used as collateral for a loan provided by the same bank. The share portfolio of the investor predominantly consisted of one type of shares. The bank determined the value of the share portfolio each day based on the closing prices of the shares, following which Mr Hoogeveen was granted 70% of the determined value as a loan. If the value of the share portfolio dropped, Mr Hoogeveen would have to repay (part of) his loan. If the value of the share portfolio increased, he was able to borrow more.

In the period from 1 August 2011 to 21 September 2011, Mr Hoogeveen managed to realise a higher share price by means of a specific manner of placing his orders. With respect to this particular share, it was possible to trade through and auction in the morning and during the afternoon. Mr Hoogeveen regularly placed his purchase orders immediately before the closing of the market, and each time in such a way that the demand exceeded supply at a lower price level with a limited number of shares. This meant that the entire order, and consequently the price at auction, was carried out a higher price level. The conduct resulted in Mr Hoogeveen on average being able to realise a price increase of 9.9% per transaction.

The AFM found that the transactions of Mr Hoogeveen were exclusively intended to raise the price of the share.","AFM, in the matter of Mr Hoogeveen",Equities,50,Reference price influence
55,Portfolio price manipulation/window dressing,Manipulating the prices of securities held in a portfolio to enhance portfolio performance prior to a reporting period.,"SEC, 2008, in the matter of Lauer",Equities,51,Reference price influence
56,High Country Bancorp – increasing closing price affecting valuation of client accounts,"Between September and December 2009, Koch engaged in marking-the-close transactions in two securities to artificially increase the reported closing price of those securities. The closing prices affected the valuation of all of Koch's advisory clients' accounts that held the securities at the end of those quarters.
For example, Koch held positions in High Country Bancorp (HCBC). In December 2009, when the stock had a bid-ask quote of $14.05 to $16.70, Koch instructed his broker to ""Please put on your calendar to buy HCBC 30 minutes to an hour before the close of the market for the year. I would like to get a closing price in the 20 – 25 range, but certainly above 20"". The broker bought 3,200 shares with the final trade two minutes before the close at $19.50 (the closing price). The SEC found that Koch's motive for this trading activity was to affect the closing price of the security.","SEC, 2011, in the matter of Donald L. Koch and  Koch Asset  Management",Equities,52,Reference price influence
57,Window Dressing – Broker Intermediation,"Fagbulu and Visser were fund managers. They purchased small tranches of shares in two illiquid issuers at significant premiums above opening prices from a market maker. They also made additional purchases through a broker. The share prices increased accordingly, enhancing the gross performance of the fund by +5.2% for May 2007. Without the purchases, the performance would have been +0.3% for the month. The purchases also led to breaches of mandate limits on the size of holdings in off exchange traded securities.","FCA, 2011, Fagbulu and Visser",Equities,52,Reference price influence
58,FTSE and S&P – manipulating an index to avoid option exercise,"Fleurose undertook index manipulation to avoid an option exercise which would have led to payment under a binary option. Under the option, a payment would be made to the counterparty if both the FTSE 100 Index and the S&P 500 Index were higher at the end of the month than at the beginning.

On 28 November 1997 the S&P Index was significantly higher than it had been at its November opening, but by the end of the last trading day of that month, the FTSE 100 was closer to the option strike level of 4842.3. At 4.10 p.m. the FTSE 100 stood at 4856.56 points, and at 4.29 p.m., 4869.856. The FTSE 100 closes at 4.30 p.m. and, during the last six seconds of trading, the Index dropped by 38.08 points to below the strike level of the option. The binary option was out of the money and the payment was avoided. The reason for the sudden fall in the FTSE 100 Index just before close of business was due to sales by Fleurose in the cash market during the last ten minutes of trading prior to the close.","FSA, 2002, in the matter of Fleurose",Equities,53,Reference price influence
59,Gold fixing – intending to increase the likelihood of price fixing below barrier to avoid payout,"Plunkett was a Director on the Precious Metals Desk at Barclays and was responsible for pricing products linked to the price of precious metals and managing Barclays' risk exposure to those products, and pricing and managing Barclays' risk on a digital exotic options contract (the ""Digital"") that referenced the price of gold during the 3:00 p.m. Gold Fixing on 28 June 2012. If the price fixed above US$1,558.96 (the ""Barrier"") during the 3:00 p.m. Gold Fixing on 28 June 2012, then Barclays would be required to make a payment to its customer. But if the price fixed below the Barrier, Barclays would not have to make that payment.
During the 3:00 p.m. Gold Fixing on 28 June 2012, Plunkett placed certain orders with the intent of increasing the likelihood that the price of gold would fix below the Barrier, which it eventually did. As a result, Barclays was not obligated to make the US$3.9m payment to its customer, and Plunkett's book profited by US$1.75m (excluding hedging), which was in addition to an initial profit that his book had received upon the sale of the Digital.
Very shortly after the conclusion of the 3:00 p.m. Gold Fixing on 28 June 2012, the customer became aware that the price had fixed just below the Barrier and sought an explanation from Barclays as to what happened in the Gold Fixing. When Barclays relayed the customer's concerns to Plunkett on 28 and 29 June 2012, he failed to disclose that he had placed orders and traded during the Gold Fixing. Plunkett also misled both Barclays and the FCA by providing an account of events that was untruthful.","FCA, 2014, in the matter of Barclays and Plunkett",Commodities,54,Reference price influence
60,Gold futures – disclosing confidential trading activity,"Kelly, a commodities trader for John W. Henry & Company, disclosed information as to his employer's confidential trading activity and strategy in gold futures to Rhee, who owned his own trading company. Rhee then traded on this confidential information generating personal profits.","CFTC, 1998, in the matter of Kelly and Rhee",Commodities,56,Improper order handling
61,Equity transactions – tipping off to front run,"Between 15 May 2009 and 22 August 2009, Sidhu was jointly involved with Ahmad, a hedge fund trader and risk manager with AKO Capital LLP (""AKO""). In his role as a trader at AKO, Ahmad knew about forthcoming equity transactions by AKO. Ahmad would tip off Rupinder Sidhu as to what shares AKO would buy and sell on a particular day. Ahmad would ""hold back"" on making trades enabling Sidhu to place spread bets to front run AKO's orders.","FCA, 2012, in the matter of Sidhu",Equities,57,Improper order handling
62,Placing silver futures contracts orders resulting in artificially high levels,"Donald D. Dial was an experienced silver trader and a manager at Clayton Brokerage Company. Dial, with the assistance of Salmon, the president of Clayton Brokerage, used a personal trading account at Clayton to buy silver futures contracts without putting up any cash or cash-equivalent margin. At the same time, Clayton sought a large foreign investor, International Monetary Corporation ('IMC'), to take delivery on a large number of silver future contracts in order to cause silver prices to rise. Dial, with the knowledge that the IMC account would be available for a large purchase, advised other customers to purchase silver future contracts. While holding many customer orders and aware that later large purchases for the IMC account would cause the silver futures prices to rise sharply, Dial allegedly entered purchase orders first on behalf of accounts in which he and Salmon had a financial interest. Dial then entered or caused to be entered orders on behalf of other customers before entering large orders for the IMC account. These IMC orders, totalling 6,000 contracts, caused the prices of all Chicago Board of Trade silver futures to rise to artificially high levels.","US Court of Appeals for the Seventh Circuit, 1985 in the matter of Dial",Commodities,57,Improper order handling
63,Dark pool – configuring subscribers' orders to benefit trading desk,"The SEC alleged that ITG Inc. operated an alternative trading system, commonly referred to as a dark pool, known as POSIT. AlterNet, an affiliate of ITG, provided trading algorithms and smart order routers that sent orders to various market centres including POSIT. According to the SEC, between April and July 2011, ITG operated a proprietary trading desk known as ""Project Omega"". Project Omega accessed live feeds of ITG customer and POSIT subscriber order and execution information and traded algorithmically based on that confidential information in both POSIT and other market centres. The SEC claimed that as part of one of its trading strategies, Project Omega identified and traded with sell-side POSIT subscribers and ensured that those subscribers' orders were configured in POSIT to trade ""aggressively"" so as to benefit Project Omega.","SEC, 2015, in the matter of ITG Inc / AlterNet Securities",Equities,58,Improper order handling
64,FSIS orders – placing orders using personal account ahead of FSIS,"Starting from March 2007, Leong and E colluded to profit from the price-sensitive confidential information that Leong received on intended orders by FSIS. Under this arrangement, Leong informed E about FSIS' intended orders and E used his personal trading account to place orders in the same counters, ahead of FSIS' orders, thus front-running FSIS' orders. As FSIS' orders typically involved large quantities of shares, the orders had significant price impact on the market. When FSIS' orders generated favourable price movements, E unwound his position by trading in the opposite direction of FSIS' orders. This led to insider trading profits which were split equally between Leong and E.","MAS, 2019, in the matter of Leong Chee Wai, E Seck Peng Simon and Toh Chew Leong",Equities,58,Improper order handling
65,Cherry Picking – Firm Accounts,"From September 1993 to December 1994, the actors engaged in a scheme in which they defrauded Coastal Corporation by misappropriating energy futures trades made on behalf of Coastal and allocating them to accounts they controlled. Soule, as the Coastal employee responsible for entering its energy futures orders to the floor of the NYMEX, allocated profitable Coastal trades to futures trading accounts owned or controlled by Lunman and Hold-Trade, Inc. who, along with Rossi, distributed the profits among the members of the scheme. Soule and Thomas F. Demarco, a telephone clerk on the NYMEX, ensured the successful completion of the wrongful allocations by creating false floor order tickets and entering into additional transactions to replace those that were misappropriated","CFTC, 1998/1999, Steven G. Soule, Kyler F. Lunman II  and Hold-Trade, Inc.",Commodities,59,Improper order handling
66,Fixed income funds – creating conflicts of interest in incentive structure,"Aviva Investors employed a side-by-side management strategy on certain desks within its fixed income business whereby funds that paid differing levels of performance fees were managed on a side-by-side basis, i.e. by the same desk. A proportion of these performance fees were paid to traders on Aviva Investors fixed income business who managed the funds on this basis.
This incentive structure created conflicts of interest as these traders had an incentive to favour one fund over another. This risk was more acute on desks where funds traded in the same instruments. Traders could delay recording the allocation of executed trades. By delaying the allocation of trades, traders who managed funds on a side-by-side basis could assess a trade's performance during the course of the day and when it was recorded allocate trades that benefitted from favourable intraday price movements to one fund and trades that did not to other funds.","FCA, 2014, in the matter of Aviva",Rates and Credit,59,Improper order handling
67,Cherry Picking – Client to PA Accounts,"Welhouse & Associates Inc. and its sole owner, Mark. P. Welhouse, allegedly engaged in fraudulent trade allocation, or ""cherry picking"", by unfairly allocating options trades amongst various accounts. The actors allegedly inappropriately allocated options trades that had appreciated in value during the course of the trading day to the owner's personal and business accounts while allocating trades that depreciated in value to client accounts. According to the SEC, Welhouse was able to unfairly allocate the trades by purchasing options in an omnibus or master account for Welhouse & Associates Inc. and delaying allocation of the purchases until later in the day, after he saw whether or not the securities appreciated in value.","SEC, 2015, Mark P. Welhouse and  Welhouse  & Associates Inc",Equities,60,Improper order handling
68,Stocks allocation – favouring own account over clients',"The SEC charged Breton, a principal at Strategic Capital Management, LLC (""SCM""), with allocating poorer performing stocks into his clients' accounts and keeping higher-performing stocks in his account. Specifically, the SEC alleged Breton bought and sold securities on behalf of his clients and would then wait to see if the stock price went up or down to the detriment of his clients. The SEC alleged that Breton and SCM violated their fiduciary duties because they ""routinely favored"" the Breton accounts over client accounts by ""cherry picking trades."" The SEC pointed out that Breton and SCM defrauded at least 30 of SCM's clients by ""cherry picking"" more than 200 profitable trades for the Breton accounts and allocating more than 200 unprofitable trades to the client accounts, making more than $1.3 million in profits from the trades that he fraudulently did not allocate to the client accounts.","US, 2017, in the matter of Strategic Capital  Management, LLC, et al",Equities,60,Improper order handling
69,G10 Spot FX trading – attempting to trigger client stop loss orders,"The FCA took action against five banks, stating they had ineffective controls which the FCA characterised as allowing G10 spot FX traders to put the banks' interests ahead of the interests of their clients, other market participants and the wider UK financial system. The regulators stated that traders at the different banks had formed relationships and used chatrooms to share information about client activity. The FCA further stated that amongst other inappropriate uses of client information, the traders would attempt to trigger client stop loss orders, describing that traders would disclose information concerning details of the size, direction and level of client stop loss orders, then trade with a view to manipulating the spot FX rate to trigger stop loss orders, with the banks potentially benefitting if they sold the particular currency to their clients pursuant to the stop loss orders at a higher rate than it had bought that currency in the market.","FCA, 2014, in the matter of five banks",Spot FX,61,Improper order handling
70,Dissemination of inaccurate information regarding solvency ratio,"An economist and former financial analysis university professor published an article on his blog asserting that French bank Société Générale's solvency ratio was 2% as of 30 June 2011, while the official figure published by the bank was 9.3%. The information was then relayed by an American investment advisor. The Enforcement Committee applied Article 632-1 of the AMF's General Regulation to the two bloggers, which states that ""any person must refrain from knowingly communicating or disseminating information, whatever the medium used, that gives inaccurate, imprecise or misleading information about financial instruments, including by spreading rumors (...) when that person knew or ought to have known that the information was inaccurate or misleading"".","AMF & Paris Appeal Court, 2013-2015, in the matter of Chevallier",Equities,64,Misleading customers & markets
71,Misrepresentations to induce payment of inflated prices and acceptance of deflated prices,"In 2015, the US Attorney's Office for the District of Connecticut announced that Siegel, a former supervisor at RBS, had admitted that he and others conspired to increase RBS's profits on bond trades relating to collateralised loan obligations and residential mortgage-backed securities. They did this by making misrepresentations to (i) induce buying customers to pay inflated prices and (ii) selling customers to accept deflated prices for bonds. In relation to certain transactions, Siegel and his co-conspirators would misrepresent the seller's asking price to the buyer (or vice versa), keeping the difference between the price paid by the buyer and the price paid to the seller for RBS. For other transactions, Siegel and the co-conspirators would misrepresent to the buyer that bonds held by RBS were being sold by a fictitious third-party seller, allowing RBS to charge the buyer an extra, unearned commission. These fraudulent transactions by Siegel cost at least 35 customers, including firms affiliated with recipients of federal bailout funds through the Troubled Asset Relief Program, millions of dollars.","US, 2015, in the matter of Royal Bank of Scotland",Rates and Credit,64,Misleading customers & markets
72,Volbroker electronic trading platform – communicating fake orders and trades,"The CFTC and the FCA took action against TFS-ICAP alleging that between 2008 to 2015, its brokers had routinely communicated fake bids and offers and fake trades in the FX options market to their clients, seeking to encourage the clients to trade when they might not otherwise have done to generate business for TFS-ICAP. The FCA has described this practice of brokers communicating misleading information as ""printing"", namely when a broker communicates to clients that a trade has been executed at a specific price or volume when that trade has in fact not taken place. TFS-ICAP engaged in their scheme through telephone, instant messages, and on Volbroker, their proprietary electronic trading platform. Brokers were able to populate the Volbroker trading screen with bids and offers that were not real but appeared to clients as tradable prices. Through this scheme, brokers were able to match these fake bids and offers with each other which caused the Volbroker screen to flash, giving clients the false impression that a trade had occurred.","FCA/CFTC, 2020, in the matter of TFS-ICAP",FX,65,Misleading customers & markets
73,Misleading investors as to the profitability of cryptoasset investment,"In 2021, Glenn Arcaro pled guilty to charges that in 2017 and 2018 he had conspired to mislead investors about BitConnect, a cryptoasset investment that was marketed as being able to generate substantial profits and guaranteed returns by using investors' money to trade on the volatility of cryptoasset exchange markets. According to the plea agreement, to induce investors, Arcaro and others had posted falsified returns on the BitConnect Website that amounted to a 3,700% return on an annual basis. Arcaro and his co-conspirators at BitConnect had operated a ""Ponzi scheme"" by paying earlier BitConnect investors with money obtained from later investors. It was estimated that investors were defrauded of over 325,000 Bitcoin, or approximately $2 billion.","US, 2021, in the matter of Arcaro",Cryptoassets,65,Misleading customers & markets
